age,income_lakh,credit_score,loan_amount_lakh,existing_loans,approved
28.0,12.64,613.0,8.93,3.0,1
57.0,19.8,753.0,28.22,3.0,1
35.0,20.54,787.0,18.94,1.0,1
59.0,18.87,816.0,11.61,1.0,1
62.0,11.63,553.0,5.23,3.0,1
32.0,3.48,625.0,11.19,3.0,0
56.0,23.49,779.0,11.54,3.0,1
45.0,12.02,671.0,5.07,1.0,1
21.0,8.22,656.0,13.54,1.0,1
63.0,11.82,526.0,29.57,0.0,0
39.0,8.09,556.0,9.09,0.0,1
22.0,2.31,761.0,22.93,3.0,0
26.0,17.59,625.0,21.83,3.0,1
31.0,8.55,774.0,6.2,0.0,1
25.0,18.65,757.0,11.59,3.0,1
23.0,3.36,478.0,20.52,3.0,0
31.0,1.53,796.0,16.89,1.0,0
53.0,20.86,513.0,23.63,1.0,1
32.0,7.22,469.0,6.91,2.0,1
27.0,7.74,575.0,18.88,4.0,0
39.0,-5.0,584.0,21.52,2.0,1
48.0,13.17,1000.0,19.2,2.0,1
45.0,2.67,773.0,12.24,2.0,0
32.0,17.86,600.0,3.51,2.0,1
27.0,5.78,639.0,22.28,4.0,0
39.0,22.41,745.0,21.28,3.0,1
55.0,13.92,572.0,28.33,4.0,0
51.0,21.77,646.0,11.79,1.0,1
39.0,6.19,485.0,11.41,3.0,0
39.0,8.96,651.0,24.14,3.0,0
37.0,17.34,562.0,14.01,1.0,1
21.0,16.37,823.0,18.13,1.0,1
44.0,9.7,816.0,7.81,1.0,1
23.0,7.06,646.0,29.47,1.0,0
34.0,13.81,551.0,8.4,2.0,1
37.0,6.33,716.0,12.06,4.0,0
50.0,1.66,636.0,29.87,4.0,0
22.0,4.79,681.0,3.16,1.0,1
41.0,8.63,484.0,25.52,0.0,0
28.0,11.34,725.0,8.39,2.0,1
30.0,11.61,567.0,2.97,3.0,1
44.0,7.73,487.0,24.83,2.0,0
54.0,1.83,693.0,29.73,4.0,0
26.0,21.26,550.0,27.04,1.0,1
63.0,6.78,735.0,4.74,2.0,1
34.0,1.53,787.0,26.05,3.0,0
50.0,2.31,840.0,27.13,1.0,0
60.0,13.37,688.0,28.79,2.0,0
22.0,20.53,765.0,8.31,2.0,1
53.0,13.83,706.0,16.1,4.0,1
63.0,3.24,540.0,21.13,0.0,0
41.0,7.28,558.0,16.13,2.0,0
34.0,,737.0,1.48,0.0,1
47.0,19.26,507.0,28.3,1.0,1
